tenant_id,work_order_id,step_id,module_id,deliverable_id,artifact_key,artifact_uri,status,created_at,idempotency_key,metadata_json
nxlkGI,UbjkpxZO,a1,9SD,tenant_outputs,tenants/nxlkGI/workorders/UbjkpxZO/steps/a1/modules/9SD/deliverables/tenant_outputs/artifact.zip,file:///mnt/data/platform_repo/dist_artifacts/nxlkGI__UbjkpxZO__a1__9SD__tenant_outputs.zip,STAGED,2026-01-13T03:21:39Z,artifact_publish_34c9d9dcd3811b0ff8aacf5e,"{""manifest"":{""tenant_id"":""nxlkGI"",""work_order_id"":""UbjkpxZO"",""step_id"":""a1"",""module_id"":""9SD"",""deliverable_id"":""tenant_outputs"",""artifact_key"":""tenants/nxlkGI/workorders/UbjkpxZO/steps/a1/modules/9SD/deliverables/tenant_outputs/artifact.zip"",""spend_transaction_id"":""3KoWmYjG"",""spend_transaction_item_id"":""SzbeoxRm68"",""run_url"":"""",""created_at"":""2026-01-13T03:21:39Z"",""files"":[{""path"":""derived_queries.txt"",""sha256"":""fb1bcc3ac3e987e3b9213536c390e77d9e29abac2522c8c34f118fd41d81e76b"",""bytes"":139},{""path"":""report.json"",""sha256"":""a81d44602907d1b51938d0c846df2b7c3a5c4dbb72de7f725fea72d01e97d16c"",""bytes"":324}]}}"
nxlkGI,UbjkpxZO,b2,wxi,metadata,tenants/nxlkGI/workorders/UbjkpxZO/steps/b2/modules/wxi/deliverables/metadata/artifact.zip,file:///mnt/data/platform_repo/dist_artifacts/nxlkGI__UbjkpxZO__b2__wxi__metadata.zip,STAGED,2026-01-13T03:21:39Z,artifact_publish_20330a9042b3eaef5acc8985,"{""manifest"":{""tenant_id"":""nxlkGI"",""work_order_id"":""UbjkpxZO"",""step_id"":""b2"",""module_id"":""wxi"",""deliverable_id"":""metadata"",""artifact_key"":""tenants/nxlkGI/workorders/UbjkpxZO/steps/b2/modules/wxi/deliverables/metadata/artifact.zip"",""spend_transaction_id"":""3KoWmYjG"",""spend_transaction_item_id"":""tszWNib8aq"",""run_url"":"""",""created_at"":""2026-01-13T03:21:39Z"",""files"":[{""path"":""results.jsonl"",""sha256"":""13a1b1b8fe4d2eaf9e4d27fc026446f7ab1d0dce78fe5cae10a3226a4abde545"",""bytes"":5718},{""path"":""report.json"",""sha256"":""4baa0c6d8e15122fecdf000265c9cd365e5ee983fba894b6c7c891462bc41277"",""bytes"":1294}]}}"
nxlkGI,UbjkpxZO,b2,wxi,thumbnails,tenants/nxlkGI/workorders/UbjkpxZO/steps/b2/modules/wxi/deliverables/thumbnails/artifact.zip,file:///mnt/data/platform_repo/dist_artifacts/nxlkGI__UbjkpxZO__b2__wxi__thumbnails.zip,STAGED,2026-01-13T03:21:39Z,artifact_publish_4db35c2c045381c9eeaa1ac9,"{""manifest"":{""tenant_id"":""nxlkGI"",""work_order_id"":""UbjkpxZO"",""step_id"":""b2"",""module_id"":""wxi"",""deliverable_id"":""thumbnails"",""artifact_key"":""tenants/nxlkGI/workorders/UbjkpxZO/steps/b2/modules/wxi/deliverables/thumbnails/artifact.zip"",""spend_transaction_id"":""3KoWmYjG"",""spend_transaction_item_id"":""B7q62IjeD2"",""run_url"":"""",""created_at"":""2026-01-13T03:21:39Z"",""files"":[{""path"":""thumbnails/index.jsonl"",""sha256"":""b51cc1f519d86191c0a130055c0c1235e1b7537164c451937248bda5419303b4"",""bytes"":1290},{""path"":""thumbnails/mock-thumb-1-1.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-1-2.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-1-3.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-2-1.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-2-2.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-2-3.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-3-1.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-3-2.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-3-3.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-4-1.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-4-2.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-4-3.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-5-1.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-5-2.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0},{""path"":""thumbnails/mock-thumb-5-3.jpg"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""bytes"":0}]}}"
nxlkGI,UbjkpxZO,c3,U2T,tenant_outputs,tenants/nxlkGI/workorders/UbjkpxZO/steps/c3/modules/U2T/deliverables/tenant_outputs/artifact.zip,file:///mnt/data/platform_repo/dist_artifacts/nxlkGI__UbjkpxZO__c3__U2T__tenant_outputs.zip,STAGED,2026-01-13T03:21:39Z,artifact_publish_f0761a4bbd96eb02384314e9,"{""manifest"":{""tenant_id"":""nxlkGI"",""work_order_id"":""UbjkpxZO"",""step_id"":""c3"",""module_id"":""U2T"",""deliverable_id"":""tenant_outputs"",""artifact_key"":""tenants/nxlkGI/workorders/UbjkpxZO/steps/c3/modules/U2T/deliverables/tenant_outputs/artifact.zip"",""spend_transaction_id"":""3KoWmYjG"",""spend_transaction_item_id"":""8UO57TpAa7"",""run_url"":"""",""created_at"":""2026-01-13T03:21:39Z"",""files"":[{""path"":""source_text.txt"",""sha256"":""e678f1ee6bfae277013a697e60d5fc00d3a2a5765516e95b4263f5753e6f06ad"",""bytes"":126},{""path"":""report.json"",""sha256"":""7516db1730fbacdbda36448d22a46df618a03c68861a34c757cb8512ed9e0756"",""bytes"":135}]}}"
