work_order_id,tenant_id,status,created_at,started_at,ended_at,note,metadata_json
UbjkpxZO,nxlkGI,FAILED,2025-12-31T12:00:00Z,2026-01-03T19:14:03Z,2026-01-03T19:14:03Z,,"{""requested_modules"":[""wxz""]}"
UbjkpxZO,nxlkGI,COMPLETED,2025-12-31T12:00:00Z,2026-01-05T04:30:31Z,2026-01-05T04:30:31Z,"COMPLETED: demo_derive_queries (9SD) [derive_queries], google_search_pages (wxz) [search], demo_seed_outputs (U2T) [seed_text]","{""plan_type"":""steps"",""requested_steps"":[""derive_queries"",""search"",""seed_text""],""requested_modules"":[""9SD"",""wxz"",""U2T""],""completed_steps"":[""derive_queries"",""search"",""seed_text""],""completed_modules"":[""9SD"",""wxz"",""U2T""],""any_failed"":false}"
